Releve number,Background_plots,site,treatment,value,year,redlisted,PC1,PC2,PC3
45,404471,SKL,1,0.8504523221959589,0,2,0.117140388824162,-0.169566228009489,-0.158759092750167
16,120372,SKL,1,0.8349822559789765,1,2,0.117140388824162,-0.169566228009489,-0.158759092750167
79,120372,SKL,1,0.81430463718567,2,2,0.117140388824162,-0.169566228009489,-0.158759092750167
93,120372,SKL,1,0.8114395614020924,3,2,0.117140388824162,-0.169566228009489,-0.158759092750167
46,120372,SKL,2,0.8368286887632247,0,2,0.117140388824162,-0.169566228009489,-0.158759092750167
64,120372,SKL,2,0.857760021964489,1,2,0.117140388824162,-0.169566228009489,-0.158759092750167
80,120372,SKL,2,0.8725446323837389,2,2,0.117140388824162,-0.169566228009489,-0.158759092750167
94,120372,SKL,2,0.8181159838479427,3,2,0.117140388824162,-0.169566228009489,-0.158759092750167
47,120372,SKL,3,0.8119917321640255,0,2,0.117140388824162,-0.169566228009489,-0.158759092750167
65,114112,SKL,3,0.7973223375525212,1,1,0.117140388824162,-0.169566228009489,-0.158759092750167
17,114112,SKL,3,0.7703392630933041,2,1,0.117140388824162,-0.169566228009489,-0.158759092750167
95,114112,SKL,3,0.6948883030705066,3,1,0.117140388824162,-0.169566228009489,-0.158759092750167
48,120372,SKL,4,0.8323052359072121,0,2,0.117140388824162,-0.169566228009489,-0.158759092750167
66,120372,SKL,4,0.8266082461759514,1,2,0.117140388824162,-0.169566228009489,-0.158759092750167
81,114112,SKL,4,0.7828771278836729,2,1,0.117140388824162,-0.169566228009489,-0.158759092750167
96,114112,SKL,4,0.7418641855410587,3,1,0.117140388824162,-0.169566228009489,-0.158759092750167
299,458819,SVI,1,0.7749946339397302,0,0,-0.119460680752389,0.175293071850575,-1.08387643604901
300,458819,SVI,1,0.6841729149483016,1,0,-0.119460680752389,0.175293071850575,-1.08387643604901
301,458830,SVI,1,0.6665458467535555,2,1,-0.119460680752389,0.175293071850575,-1.08387643604901
302,458819,SVI,1,0.733604916095145,3,0,-0.119460680752389,0.175293071850575,-1.08387643604901
303,423636,SVI,2,0.8081456008778681,0,3,-0.119460680752389,0.175293071850575,-1.08387643604901
304,458792,SVI,2,0.7293468603008558,1,0,-0.119460680752389,0.175293071850575,-1.08387643604901
305,458819,SVI,2,0.6130028303481231,2,0,-0.119460680752389,0.175293071850575,-1.08387643604901
306,458819,SVI,2,0.7068585019389033,3,0,-0.119460680752389,0.175293071850575,-1.08387643604901
